Player,Season,Position,Age,Team,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,EFG,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TO,PF,PTS
Paul Millsap,2007,PF,21,UTA,17,0,263,42,80,.525,0,1,.000,42,79,.532,.525,16,24,.667,38,37,75,8,11,9,13,39,100
Yao Ming*,2007,C,26,HOU,7,7,260,55,125,.440,0,0,,55,125,.440,.440,66,75,.880,23,49,72,6,1,5,33,27,176
Nazr Mohammed,2007,C,29,DET,2,0,6,1,2,.500,0,0,,1,2,.500,.500,3,3,1.000,1,2,3,0,0,0,0,1,5
Mikki Moore,2007,C,31,NJN,12,12,399,56,100,.560,0,0,,56,100,.560,.560,23,29,.793,23,44,67,14,10,7,20,47,135
Alonzo Mourning*,2007,C,36,MIA,4,0,55,10,11,.909,0,0,,10,11,.909,.909,5,13,.385,1,7,8,1,0,3,1,6,25
Ronald Murray,2007,SG,27,DET,12,0,136,11,31,.355,0,2,.000,11,29,.379,.355,8,11,.727,2,7,9,14,4,1,8,12,30
Dikembe Mutombo*,2007,C,40,HOU,7,0,40,3,3,1.000,0,0,,3,3,1.000,1.000,3,3,1.000,5,6,11,1,0,3,0,5,9
Boštjan Nachbar,2007,SF,26,NJN,12,0,281,40,95,.421,18,48,.375,22,47,.468,.516,21,22,.955,5,30,35,18,7,1,18,30,119
Eduardo Nájera,2007,PF,30,DEN,5,0,96,4,17,.235,0,3,.000,4,14,.286,.235,1,2,.500,11,17,28,2,2,1,2,10,9
Steve Nash*,2007,PG,32,PHO,11,11,413,74,160,.463,19,39,.487,55,121,.455,.522,41,46,.891,4,31,35,146,4,1,48,21,208
Jameer Nelson,2007,PG,24,ORL,4,4,129,21,50,.420,5,14,.357,16,36,.444,.470,10,11,.909,4,8,12,13,3,0,9,19,57
Rasho Nesterović,2007,C,30,TOR,5,4,71,7,15,.467,0,0,,7,15,.467,.467,3,3,1.000,10,13,23,3,0,2,4,4,17
Ira Newble,2007,SF,32,CLE,6,0,10,0,2,.000,0,2,.000,0,0,,.000,0,0,,0,1,1,1,0,0,0,3,0
Andrés Nocioni,2007,PF,27,CHI,10,0,197,31,86,.360,13,39,.333,18,47,.383,.436,13,18,.722,3,32,35,8,2,5,13,25,88
Dirk Nowitzki,2007,PF,28,DAL,6,6,239,36,94,.383,4,19,.211,32,75,.427,.404,42,50,.840,25,43,68,14,11,8,14,20,118
Shaquille O'Neal*,2007,C,34,MIA,4,4,121,33,59,.559,0,0,,33,59,.559,.559,9,27,.333,16,18,34,5,1,6,14,15,75
Fabricio Oberto,2007,C,31,SAS,20,12,415,50,80,.625,0,1,.000,50,79,.633,.625,12,21,.571,41,57,98,14,6,4,10,54,112
Lamar Odom,2007,PF,27,LAL,5,5,192,41,85,.482,3,11,.273,38,74,.514,.500,12,24,.500,20,45,65,11,2,6,10,17,97
Mehmet Okur,2007,C,27,UTA,17,17,585,71,183,.388,25,79,.316,46,104,.442,.456,33,42,.786,37,95,132,30,24,16,24,65,200
Anthony Parker,2007,SG,31,TOR,6,6,240,26,62,.419,8,20,.400,18,42,.429,.484,31,39,.795,3,29,32,6,9,2,7,18,91
Smush Parker,2007,PG,25,LAL,5,0,59,2,13,.154,1,6,.167,1,7,.143,.192,4,4,1.000,4,3,7,3,3,1,3,8,9
Tony Parker,2007,PG,24,SAS,20,20,751,168,350,.480,7,21,.333,161,329,.489,.490,72,106,.679,14,53,67,115,22,0,66,34,415
Sasha Pavlović,2007,SG,23,CLE,20,20,616,72,189,.381,20,58,.345,52,131,.397,.434,19,36,.528,13,38,51,32,19,5,36,64,183
Gary Payton*,2007,PG,38,MIA,2,0,32,0,3,.000,0,1,.000,0,2,.000,.000,0,0,,0,4,4,3,0,0,4,3,0
Morris Peterson,2007,SF,29,TOR,6,2,183,15,29,.517,6,12,.500,9,17,.529,.621,5,6,.833,5,22,27,2,2,2,6,20,41
Eric Piatkowski,2007,SG,36,PHO,1,0,3,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,0,0,2
Mickaël Piétrus,2007,SF,24,GSW,11,0,209,17,49,.347,7,27,.259,10,22,.455,.418,25,36,.694,13,29,42,6,5,9,7,32,66
Scot Pollard,2007,C,31,CLE,3,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0
James Posey,2007,SF,30,MIA,4,1,139,10,26,.385,6,19,.316,4,7,.571,.500,5,5,1.000,1,30,31,6,8,5,5,18,31
Josh Powell,2007,PF,24,GSW,4,0,6,0,0,,0,0,,0,0,,,1,2,.500,1,0,1,0,0,1,0,0,1
Tayshaun Prince,2007,SF,26,DET,16,16,665,83,200,.415,18,44,.409,65,156,.417,.460,41,54,.759,27,76,103,60,15,5,30,30,225
J.J. Redick,2007,PG,22,ORL,1,0,11,1,2,.500,1,1,1.000,0,1,.000,.750,0,0,,0,0,0,2,0,0,1,2,3
Jason Richardson,2007,SG,26,GSW,11,11,428,81,170,.476,29,82,.354,52,88,.591,.562,19,27,.704,24,50,74,22,14,5,24,38,210
Bernard Robinson,2007,SF,26,NJN,1,0,6,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,2,1,0,1,2,0
Clifford Robinson,2007,C,40,NJN,4,0,20,1,6,.167,1,2,.500,0,4,.000,.250,0,0,,0,0,0,0,1,0,1,1,3
Jalen Rose,2007,SF,34,PHO,1,0,9,1,4,.250,0,1,.000,1,3,.333,.250,0,0,,0,1,1,2,0,0,0,2,2
Michael Ruffin,2007,PF,30,WAS,4,0,28,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,5,4,9,0,3,0,0,2,2
Thabo Sefolosha,2007,SG,22,CHI,9,0,99,10,26,.385,3,8,.375,7,18,.389,.442,7,12,.583,4,13,17,7,2,0,7,11,30
J.R. Smith,2007,SG,21,DEN,4,0,47,6,22,.273,0,12,.000,6,10,.600,.273,6,6,1.000,1,8,9,2,4,1,3,6,18
Eric Snow,2007,PG,33,CLE,19,0,244,12,38,.316,0,3,.000,12,35,.343,.316,8,14,.571,7,21,28,29,11,2,8,22,32
Kirk Snyder,2007,SF,23,HOU,3,0,9,1,3,.333,0,2,.000,1,1,1.000,.333,0,0,,0,1,1,0,0,0,1,0,2
Darius Songaila,2007,PF,28,WAS,4,0,90,20,41,.488,0,2,.000,20,39,.513,.488,3,3,1.000,5,8,13,4,3,0,4,17,43
Vassilis Spanoulis,2007,SG,24,HOU,1,0,3,1,2,.500,0,0,,1,2,.500,.500,2,2,1.000,0,1,1,1,0,0,0,0,4
Jerry Stackhouse,2007,SF,32,DAL,6,0,169,23,66,.348,11,31,.355,12,35,.343,.432,29,33,.879,5,17,22,15,4,1,18,9,86
DeShawn Stevenson,2007,SG,25,WAS,4,4,122,9,46,.196,3,19,.158,6,27,.222,.228,3,7,.429,2,8,10,7,2,3,3,4,24
Amar'e Stoudemire,2007,C,24,PHO,10,10,343,91,174,.523,1,3,.333,90,171,.526,.526,70,91,.769,30,91,121,6,13,19,19,39,253
Mike Sweetney,2007,C,24,CHI,1,0,3,1,2,.500,0,0,,1,2,.500,.500,0,2,.000,0,0,0,0,0,0,0,1,2
Donell Taylor,2007,SG,24,WAS,2,0,17,1,6,.167,0,0,,1,6,.167,.167,1,1,1.000,0,3,3,4,0,0,2,2,3
Jason Terry,2007,SG,29,DAL,6,6,229,39,92,.424,9,32,.281,30,60,.500,.473,15,18,.833,3,11,14,22,5,2,17,12,102
Etan Thomas,2007,C,28,WAS,4,4,84,7,17,.412,0,0,,7,17,.412,.412,6,9,.667,2,20,22,1,2,3,6,9,20
Kurt Thomas,2007,C,34,PHO,11,5,212,34,65,.523,0,0,,34,65,.523,.523,15,17,.882,11,43,54,12,6,9,9,25,83
Tyrus Thomas,2007,PF,20,CHI,10,0,122,16,41,.390,0,0,,16,41,.390,.390,19,30,.633,12,22,34,6,10,5,15,23,51
Jake Tsakalidis,2007,C,27,HOU,1,0,3,0,0,,0,0,,0,0,,,2,2,1.000,1,3,4,0,0,0,0,0,2
Ronny Turiaf,2007,C,24,LAL,4,0,48,5,14,.357,0,0,,5,14,.357,.357,7,10,.700,6,6,12,1,2,1,1,8,17
Hedo Türkoğlu,2007,SF,27,ORL,4,4,156,25,50,.500,3,9,.333,22,41,.537,.530,2,4,.500,2,11,13,14,5,4,10,14,55
Beno Udrih,2007,PG,24,SAS,8,0,20,0,6,.000,0,2,.000,0,4,.000,.000,2,2,1.000,1,0,1,1,0,0,3,2,2
Anderson Varejão,2007,C,24,CLE,20,0,447,46,90,.511,0,4,.000,46,86,.535,.511,27,48,.563,46,73,119,11,21,11,20,53,119
Jacque Vaughn,2007,PG,31,SAS,20,0,208,20,50,.400,0,0,,20,50,.400,.400,3,6,.500,1,8,9,28,4,0,11,24,43
Sasha Vujačić,2007,SG,22,LAL,4,0,43,5,9,.556,1,4,.250,4,5,.800,.611,0,0,,2,2,4,3,1,0,3,4,11
Dwyane Wade,2007,SG,25,MIA,4,4,162,36,84,.429,0,5,.000,36,79,.456,.429,22,32,.688,7,12,19,25,5,2,23,13,94
Antoine Walker,2007,PF,30,MIA,4,0,92,15,37,.405,8,16,.500,7,21,.333,.514,9,11,.818,2,7,9,6,2,1,4,11,47
Ben Wallace*,2007,C,32,CHI,10,10,369,30,53,.566,0,1,.000,30,52,.577,.566,27,54,.500,29,66,95,14,15,17,10,19,87
Rasheed Wallace,2007,C,32,DET,16,16,573,86,197,.437,25,72,.347,61,125,.488,.500,32,38,.842,19,104,123,28,19,28,19,64,229
Luke Walton,2007,SF,26,LAL,5,5,128,14,36,.389,5,12,.417,9,24,.375,.458,3,4,.750,9,12,21,13,7,1,15,13,36
Chris Webber*,2007,PF,33,DET,16,16,404,66,126,.524,0,1,.000,66,125,.528,.524,26,49,.531,36,64,100,24,14,9,25,51,158
Deron Williams,2007,PG,22,UTA,17,17,657,122,270,.452,19,57,.333,103,213,.484,.487,64,81,.790,9,64,73,146,26,4,68,49,327
Jason Williams,2007,PG,31,MIA,4,4,112,7,28,.250,5,17,.294,2,11,.182,.339,4,5,.800,0,8,8,14,5,1,3,5,23
Marcus Williams,2007,PG,21,NJN,12,0,78,12,36,.333,1,13,.077,11,23,.478,.347,4,5,.800,3,7,10,13,1,0,12,4,29
Shammond Williams,2007,PG,31,LAL,4,0,80,8,20,.400,2,8,.250,6,12,.500,.450,0,0,,2,1,3,7,0,1,2,6,18
Antoine Wright,2007,SG,22,NJN,12,0,163,17,36,.472,3,6,.500,14,30,.467,.514,9,10,.900,5,18,23,1,5,4,5,14,46
Dorell Wright,2007,SF,21,MIA,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Arron Afflalo,2008,SG,22,DET,12,0,84,7,18,.389,0,2,.000,7,16,.438,.389,0,0,,0,5,5,6,4,0,1,5,14
Malik Allen,2008,PF,29,DAL,3,0,18,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,4,0
Ray Allen*,2008,SG,32,BOS,26,26,987,133,311,.428,55,139,.396,78,172,.453,.516,84,92,.913,25,73,98,71,24,8,38,63,405
Tony Allen,2008,SG,26,BOS,15,0,65,9,16,.563,0,1,.000,9,15,.600,.563,2,5,.400,1,2,3,3,2,0,1,5,20
Rafer Alston,2008,PG,31,HOU,4,4,126,21,48,.438,11,25,.440,10,23,.435,.552,4,5,.800,2,4,6,18,4,0,6,7,57
Lou Amundson,2008,PF,25,PHI,2,0,10,2,4,.500,0,0,,2,4,.500,.500,1,2,.500,5,2,7,0,0,0,0,2,5
Carmelo Anthony,2008,SF,23,DEN,4,4,146,32,88,.364,2,8,.250,30,80,.375,.375,24,29,.828,19,19,38,8,2,1,12,17,90
Gilbert Arenas,2008,PG,26,WAS,4,2,94,14,36,.389,5,12,.417,9,24,.375,.458,10,12,.833,0,7,7,11,2,0,8,13,43
Trevor Ariza,2008,SF,22,LAL,8,0,45,7,12,.583,1,4,.250,6,8,.750,.625,2,4,.500,3,8,11,1,1,1,1,7,17
Hilton Armstrong,2008,C,23,NOH,8,0,72,8,13,.615,0,0,,8,13,.615,.615,5,10,.500,9,11,20,0,0,6,4,12,21
Carlos Arroyo,2008,PG,28,ORL,4,0,30,2,4,.500,0,1,.000,2,3,.667,.500,2,2,1.000,0,2,2,4,0,0,3,4,6
Chucky Atkins,2008,SG,33,DEN,1,0,3,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,1,1,0,0,0,0,0,0
James Augustine,2008,PF,23,ORL,1,0,2,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,1,1,0,0,0,0,0,2
Leandro Barbosa,2008,SG,25,PHO,5,1,143,19,55,.345,4,18,.222,15,37,.405,.382,10,11,.909,2,18,20,9,3,0,4,10,52
J.J. Barea,2008,PG,23,DAL,1,0,5,3,4,.750,2,2,1.000,1,2,.500,1.000,0,0,,0,0,0,1,0,0,0,1,8
Andrea Bargnani,2008,PF,22,TOR,5,5,104,13,39,.333,4,16,.250,9,23,.391,.385,2,2,1.000,1,6,7,2,4,3,2,15,32
Brent Barry,2008,SF,36,SAS,16,0,227,26,53,.491,19,41,.463,7,12,.583,.670,12,15,.800,2,16,18,17,6,2,9,22,83
Brandon Bass,2008,C,22,DAL,5,0,133,17,36,.472,0,1,.000,17,35,.486,.472,24,25,.960,20,14,34,2,3,3,3,12,58
Maceo Baston,2008,PF,32,TOR,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,1,0,0,0,0
Shane Battier,2008,SF,29,HOU,6,6,246,20,45,.444,12,25,.480,8,20,.400,.578,8,11,.727,7,16,23,3,6,5,8,19,60
Raja Bell,2008,SG,31,PHO,5,5,215,21,37,.568,13,20,.650,8,17,.471,.743,13,16,.813,6,22,28,11,2,1,5,19,68
Mike Bibby,2008,PG,29,ATL,7,7,252,22,65,.338,7,24,.292,15,41,.366,.392,21,32,.656,3,19,22,22,4,2,13,12,72
Chauncey Billups,2008,PG,31,DET,15,15,480,69,172,.401,24,64,.375,45,108,.417,.471,79,95,.832,6,38,44,83,12,1,20,32,241
Andray Blatche,2008,PF,21,WAS,6,0,89,9,21,.429,0,1,.000,9,20,.450,.429,4,12,.333,7,13,20,1,2,6,5,15,22
Keith Bogans,2008,SG,27,ORL,10,0,293,25,68,.368,15,45,.333,10,23,.435,.478,8,11,.727,4,38,42,11,4,0,7,26,73
Matt Bonner,2008,PF,27,SAS,2,0,9,2,3,.667,0,0,,2,3,.667,.667,0,0,,0,2,2,2,0,0,0,0,4
Carlos Boozer,2008,PF,26,UTA,12,12,441,76,183,.415,0,0,,76,183,.415,.415,40,56,.714,42,105,147,34,6,2,36,47,192
Chris Bosh*,2008,C,23,TOR,5,5,199,42,89,.472,1,7,.143,41,82,.500,.478,35,42,.833,20,25,45,18,8,2,13,19,120
Bruce Bowen,2008,SF,36,SAS,17,17,508,37,93,.398,22,54,.407,15,39,.385,.516,8,11,.727,2,31,33,23,11,6,9,41,104
Ryan Bowen,2008,SF,32,NOH,9,0,39,1,6,.167,0,1,.000,1,5,.200,.167,2,2,1.000,3,11,14,2,1,0,1,1,4
Ronnie Brewer,2008,SG,22,UTA,12,12,305,51,98,.520,1,6,.167,50,92,.543,.526,19,25,.760,17,21,38,19,12,4,4,29,122
Aaron Brooks,2008,PG,23,HOU,6,0,50,8,25,.320,0,10,.000,8,15,.533,.320,9,11,.818,0,6,6,3,0,0,3,11,25
Devin Brown,2008,SG,29,CLE,8,0,92,9,34,.265,5,17,.294,4,17,.235,.338,10,15,.667,8,11,19,9,2,0,9,10,33
P.J. Brown,2008,PF,38,BOS,25,0,341,26,56,.464,0,1,.000,26,55,.473,.464,21,25,.840,18,41,59,12,5,10,12,58,73
Kobe Bryant*,2008,SG,29,LAL,21,21,863,222,463,.479,32,106,.302,190,357,.532,.514,157,194,.809,18,101,119,117,35,8,70,59,633
Caron Butler,2008,SF,27,WAS,6,6,246,40,87,.460,5,21,.238,35,66,.530,.489,27,31,.871,10,24,34,23,11,1,16,19,112
José Calderón,2008,PG,26,TOR,5,0,120,22,50,.440,10,21,.476,12,29,.414,.540,5,5,1.000,4,14,18,35,1,0,6,15,59
Marcus Camby,2008,C,33,DEN,4,4,124,5,21,.238,1,1,1.000,4,20,.200,.262,2,6,.333,11,42,53,12,4,12,10,10,13
Rodney Carney,2008,SF,23,PHI,6,0,84,12,31,.387,5,10,.500,7,21,.333,.468,1,2,.500,3,4,7,5,7,2,0,9,30
Anthony Carter,2008,PG,32,DEN,4,1,61,4,14,.286,0,5,.000,4,9,.444,.286,0,0,,2,8,10,14,1,1,3,6,8
Sam Cassell,2008,PG,38,BOS,21,0,264,37,111,.333,6,28,.214,31,83,.373,.360,14,17,.824,2,13,15,25,8,1,12,30,94
Tyson Chandler,2008,C,25,NOH,12,12,412,43,68,.632,0,0,,43,68,.632,.632,10,16,.625,45,78,123,5,5,20,10,43,96
Josh Childress,2008,SF,24,ATL,7,0,205,22,42,.524,0,2,.000,22,40,.550,.524,6,12,.500,15,25,40,11,1,5,2,7,50
Jarron Collins,2008,C,29,UTA,5,0,20,0,3,.000,0,0,,0,3,.000,.000,0,0,,3,3,6,1,1,1,0,2,0
Samuel Dalembert,2008,C,26,PHI,6,6,193,19,45,.422,0,0,,19,45,.422,.422,16,19,.842,20,37,57,3,2,10,10,17,54
Erick Dampier,2008,C,32,DAL,5,5,95,7,17,.412,0,0,,7,17,.412,.412,4,10,.400,12,9,21,0,1,3,3,15,18
Antonio Daniels,2008,PG,32,WAS,6,4,154,14,31,.452,1,4,.250,13,27,.481,.468,15,17,.882,1,13,14,18,2,2,7,6,44
Glen Davis,2008,C,22,BOS,17,0,137,14,34,.412,0,1,.000,14,33,.424,.412,11,18,.611,12,13,25,7,5,4,10,27,39
Carlos Delfino,2008,SG,25,TOR,5,0,121,15,37,.405,4,15,.267,11,22,.500,.459,9,10,.900,5,19,24,11,4,0,3,14,43
Boris Diaw,2008,PF,25,PHO,5,2,178,35,64,.547,0,7,.000,35,57,.614,.547,3,6,.500,7,21,28,23,3,4,11,22,73
Yakhouba Diawara,2008,SG,25,DEN,3,0,8,2,5,.400,0,2,.000,2,3,.667,.400,0,0,,0,1,1,0,0,0,0,0,4
Juan Dixon,2008,PG,29,DET,2,0,7,0,2,.000,0,0,,0,2,.000,.000,0,0,,0,0,0,0,0,0,0,0,0
Keyon Dooling,2008,PG,27,ORL,10,0,148,22,56,.393,9,23,.391,13,33,.394,.473,13,15,.867,2,8,10,7,6,1,6,22,66
Tim Duncan*,2008,C,31,SAS,17,17,666,135,301,.449,1,5,.200,134,296,.453,.450,72,115,.626,61,186,247,56,15,35,41,41,343
Melvin Ely,2008,C,29,NOH,7,0,59,4,15,.267,0,0,,4,15,.267,.267,7,10,.700,5,6,11,1,0,0,4,13,15
Maurice Evans,2008,SG,29,ORL,10,10,282,35,69,.507,15,36,.417,20,33,.606,.616,5,8,.625,7,18,25,7,8,1,9,12,90
Reggie Evans,2008,PF,27,PHI,6,0,148,13,26,.500,0,0,,13,26,.500,.500,15,24,.625,16,31,47,3,5,0,13,20,41
Jordan Farmar,2008,PG,21,LAL,21,0,360,44,115,.383,17,44,.386,27,71,.380,.457,14,16,.875,7,26,33,27,7,4,17,27,119
Michael Finley,2008,SG,34,SAS,17,11,391,43,107,.402,19,52,.365,24,55,.436,.491,9,9,1.000,1,32,33,17,5,3,6,25,114
Derek Fisher,2008,PG,33,LAL,21,21,663,66,146,.452,22,50,.440,44,96,.458,.527,61,73,.836,2,45,47,52,43,3,20,62,215
T.J. Ford,2008,PG,24,TOR,5,5,124,21,58,.362,1,8,.125,20,50,.400,.371,15,16,.938,3,19,22,33,5,0,10,10,58
Adonal Foyle,2008,C,32,ORL,3,0,11,1,3,.333,0,0,,1,3,.333,.333,0,0,,0,3,3,0,0,0,2,1,2
Kevin Garnett*,2008,PF,31,BOS,26,26,987,217,438,.495,2,8,.250,215,430,.500,.498,94,116,.810,72,202,274,87,35,29,55,74,530
Pat Garrity,2008,PF,31,ORL,2,0,6,0,2,.000,0,1,.000,0,1,.000,.000,1,2,.500,0,2,2,0,0,0,0,0,1
Pau Gasol,2008,C,27,LAL,21,21,836,141,266,.530,0,0,,141,266,.530,.530,72,104,.692,55,140,195,83,11,40,44,60,354
Devean George,2008,SF,30,DAL,5,0,62,11,28,.393,4,12,.333,7,16,.438,.464,3,5,.600,4,11,15,0,2,2,3,7,29
Daniel Gibson,2008,PG,21,CLE,11,0,284,35,78,.449,19,42,.452,16,36,.444,.571,10,14,.714,4,15,19,27,7,2,15,18,99
Manu Ginóbili*,2008,SG,30,SAS,17,6,559,98,232,.422,38,102,.373,60,130,.462,.504,69,77,.896,14,50,64,67,10,5,47,47,303
Gordan Giriček,2008,SG,30,PHO,5,0,80,6,18,.333,1,4,.250,5,14,.357,.361,4,4,1.000,0,7,7,2,2,0,3,3,17
Marcin Gortat,2008,C,23,ORL,8,0,48,5,6,.833,0,0,,5,6,.833,.833,0,0,,2,6,8,0,0,4,3,5,10
Joey Graham,2008,SF,25,TOR,2,0,2,0,2,.000,0,1,.000,0,1,.000,.000,0,0,,0,0,0,0,0,0,0,0,0
Willie Green,2008,SG,26,PHI,6,6,142,22,51,.431,1,5,.200,21,46,.457,.441,9,14,.643,2,6,8,12,5,4,9,19,54
Richard Hamilton,2008,SG,29,DET,17,17,656,134,285,.470,8,26,.308,126,259,.486,.484,92,101,.911,19,53,72,67,23,9,48,48,368
Matt Harpring,2008,SF,31,UTA,12,0,209,25,63,.397,1,3,.333,24,60,.400,.405,28,35,.800,17,17,34,8,7,4,11,35,79
Mike Harris,2008,PF,24,HOU,3,0,9,1,2,.500,0,0,,1,2,.500,.500,1,2,.500,1,1,2,0,0,0,0,0,3
Jason Hart,2008,PG,29,UTA,2,0,6,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,0,0,0,0,0,0,0,0,2
Chuck Hayes,2008,PF,24,HOU,6,0,108,7,11,.636,0,2,.000,7,9,.778,.636,0,0,,7,21,28,5,3,6,4,18,14
Jarvis Hayes,2008,SF,26,DET,11,0,61,9,30,.300,5,14,.357,4,16,.250,.383,0,0,,4,12,16,4,1,2,4,11,23
Brendan Haywood,2008,C,28,WAS,6,6,178,26,44,.591,0,0,,26,44,.591,.591,20,25,.800,13,27,40,5,4,9,6,25,72
Luther Head,2008,SG,25,HOU,5,0,44,1,14,.071,0,6,.000,1,8,.125,.071,2,2,1.000,1,1,2,4,2,1,4,3,4
Walter Herrmann,2008,PF,28,DET,4,0,27,1,4,.250,1,1,1.000,0,3,.000,.375,2,4,.500,1,0,1,0,0,0,0,4,5
Nenê,2008,PF,25,DEN,3,0,30,5,9,.556,0,0,,5,9,.556,.556,3,3,1.000,3,4,7,1,2,1,2,8,13
Grant Hill*,2008,SF,35,PHO,3,2,68,5,11,.455,0,0,,5,11,.455,.455,1,1,1.000,3,13,16,3,2,1,0,3,11
Al Horford,2008,C,21,ATL,7,7,277,34,72,.472,0,0,,34,72,.472,.472,20,27,.741,22,51,73,25,3,7,15,26,88
Robert Horry,2008,PF,37,SAS,15,0,154,7,36,.194,5,22,.227,2,14,.143,.264,4,6,.667,11,21,32,8,5,5,2,34,23
Eddie House,2008,PG,29,BOS,21,0,165,17,56,.304,11,31,.355,6,25,.240,.402,7,8,.875,2,20,22,18,5,1,4,13,52
Dwight Howard,2008,C,22,ORL,10,10,421,72,124,.581,0,0,,72,124,.581,.581,45,83,.542,60,98,158,9,8,34,32,38,189
Josh Howard,2008,SF,27,DAL,5,5,171,21,72,.292,1,10,.100,20,62,.323,.299,20,25,.800,12,23,35,7,2,2,9,10,63
Juwan Howard,2008,PF,34,DAL,3,0,11,0,2,.000,0,0,,0,2,.000,.000,1,4,.250,0,0,0,1,0,0,0,2,1
Kris Humphries,2008,PF,22,TOR,3,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Lindsey Hunter,2008,PG,37,DET,11,0,115,8,21,.381,5,11,.455,3,10,.300,.500,0,0,,2,8,10,14,8,0,5,21,21
Steven Hunter,2008,C,26,DEN,2,0,5,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,2,2,0,0,0,0,0,0
Andre Iguodala,2008,SF,24,PHI,6,6,234,23,69,.333,2,14,.143,21,55,.382,.348,31,43,.721,6,23,29,30,13,1,26,11,79
Zydrunas Ilgauskas,2008,C,32,CLE,13,13,393,67,140,.479,0,0,,67,140,.479,.479,36,44,.818,33,65,98,21,5,14,21,35,170
D.J. Mbenga,2008,C,27,LAL,7,0,30,5,8,.625,0,0,,5,8,.625,.625,0,0,,3,6,9,0,2,1,1,9,10
Allen Iverson*,2008,SG,32,DEN,4,4,158,36,83,.434,3,14,.214,33,69,.478,.452,23,33,.697,4,8,12,18,4,1,7,3,98
Bobby Jackson,2008,PG,34,HOU,6,2,138,20,70,.286,5,24,.208,15,46,.326,.321,7,11,.636,2,8,10,9,5,0,4,11,52
LeBron James,2008,SF,23,CLE,13,13,552,113,275,.411,18,70,.257,95,205,.463,.444,122,167,.731,16,86,102,99,23,17,54,33,366
Mike James,2008,PG,32,NOH,4,0,28,4,12,.333,2,5,.400,2,7,.286,.417,2,2,1.000,0,1,1,1,2,0,1,0,12
Antawn Jamison,2008,PF,31,WAS,6,6,237,39,96,.406,7,25,.280,32,71,.451,.443,16,28,.571,19,53,72,6,8,8,10,17,101
Amir Johnson,2008,PF,20,DET,8,0,43,9,12,.750,0,1,.000,9,11,.818,.750,3,6,.500,3,10,13,1,0,3,2,7,21
Joe Johnson,2008,SG,26,ATL,7,7,275,47,115,.409,16,36,.444,31,79,.392,.478,30,33,.909,9,18,27,28,2,0,16,16,140
Damon Jones,2008,SG,31,CLE,5,0,26,2,10,.200,2,7,.286,0,3,.000,.300,0,0,,0,0,0,1,0,0,1,1,6
Dwayne Jones,2008,PF,24,CLE,5,0,20,1,2,.500,0,0,,1,2,.500,.500,1,2,.500,2,4,6,0,0,1,1,4,3
Eddie Jones,2008,SG,36,DAL,3,0,22,2,6,.333,1,4,.250,1,2,.500,.417,1,1,1.000,0,3,3,1,1,0,1,3,6
Solomon Jones,2008,PF,23,ATL,7,0,29,2,10,.200,0,0,,2,10,.200,.200,0,2,.000,4,4,8,1,1,3,0,3,4
Jason Kapono,2008,SF,26,TOR,5,0,152,31,53,.585,13,24,.542,18,29,.621,.708,3,4,.750,2,11,13,4,2,0,2,9,78
Coby Karl,2008,SG,24,LAL,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,1,0
Jason Kidd*,2008,PG,34,DAL,5,5,180,16,38,.421,6,13,.462,10,25,.400,.500,5,8,.625,8,24,32,34,7,2,9,12,43
Andrei Kirilenko,2008,SF,26,UTA,12,12,387,51,114,.447,5,22,.227,46,92,.500,.469,25,35,.714,15,26,41,30,18,20,18,46,132
Linas Kleiza,2008,SF,23,DEN,4,3,122,22,41,.537,3,14,.214,19,27,.704,.573,9,13,.692,8,18,26,3,1,0,5,11,56
Kyle Korver,2008,SG,26,UTA,12,0,259,30,73,.411,11,38,.289,19,35,.543,.486,23,25,.920,5,21,26,7,4,8,8,28,94
Carl Landry,2008,PF,24,HOU,6,0,106,11,26,.423,0,0,,11,26,.423,.423,12,16,.750,15,13,28,0,7,3,2,8,34
Acie Law,2008,PG,23,ATL,7,0,61,6,8,.750,0,0,,6,8,.750,.750,9,10,.900,0,2,2,8,2,0,8,5,21
Rashard Lewis,2008,PF,28,ORL,10,10,417,71,163,.436,21,68,.309,50,95,.526,.500,32,39,.821,24,48,72,34,11,5,23,18,195
Tyronn Lue,2008,PG,30,DAL,2,0,2,0,1,.000,0,0,,0,1,.000,.000,0,0,,1,0,1,1,0,0,0,0,0
