Player,Season,Position,Age,Team,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,EFG,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TO,PF,PTS
Richard Jefferson,2003,SF,22,NJN,20,20,711,110,231,.476,0,3,.000,110,228,.482,.476,61,85,.718,29,98,127,47,16,4,46,67,281
Anthony Johnson,2003,PG,28,NJN,17,0,122,17,31,.548,3,6,.500,14,25,.560,.597,5,6,.833,3,9,12,19,2,0,8,15,42
Ervin Johnson,2003,C,35,MIL,6,3,76,3,8,.375,0,0,,3,8,.375,.375,0,0,,6,18,24,3,3,5,3,20,6
Joe Johnson,2003,SG,21,PHO,6,0,164,14,51,.275,2,13,.154,12,38,.316,.294,2,5,.400,6,20,26,8,4,2,12,15,32
Shawn Kemp,2003,C,33,ORL,7,0,72,8,21,.381,0,0,,8,21,.381,.381,5,6,.833,1,14,15,0,0,0,4,13,21
Steve Kerr,2003,PG,37,SAS,10,0,46,7,11,.636,5,6,.833,2,5,.400,.864,3,4,.750,1,2,3,6,1,0,1,6,22
Jason Kidd*,2003,PG,29,NJN,20,20,852,137,341,.402,34,104,.327,103,237,.435,.452,94,114,.825,36,118,154,163,36,4,79,46,402
Andrei Kirilenko,2003,SF,21,UTA,5,0,145,18,43,.419,1,7,.143,17,36,.472,.430,21,24,.875,8,16,24,7,3,10,6,6,58
Kerry Kittles,2003,SG,28,NJN,20,20,613,79,200,.395,26,63,.413,53,137,.387,.460,32,42,.762,19,51,70,40,29,5,17,39,216
Toni Kukoč*,2003,PF,34,MIL,6,0,184,32,65,.492,11,29,.379,21,36,.583,.577,14,20,.700,6,19,25,22,13,1,11,12,89
Raef LaFrentz,2003,C,26,DAL,20,16,491,68,157,.433,8,40,.200,60,117,.513,.459,16,19,.842,36,52,88,5,11,43,14,86,160
Grant Long,2003,PF,36,BOS,8,0,34,1,4,.250,0,0,,1,4,.250,.250,0,0,,3,2,5,1,0,0,1,1,2
George Lynch,2003,SG,32,NOH,6,3,163,18,42,.429,5,18,.278,13,24,.542,.488,1,4,.250,10,27,37,10,6,5,8,14,42
Mark Madsen,2003,PF,27,LAL,12,2,169,13,31,.419,0,1,.000,13,30,.433,.419,7,16,.438,14,14,28,12,3,2,8,32,33
Jamaal Magloire,2003,C,24,NOH,6,6,188,22,49,.449,0,0,,22,49,.449,.449,25,33,.758,17,33,50,2,4,6,9,15,69
Karl Malone*,2003,PF,39,UTA,5,5,191,34,84,.405,0,1,.000,34,83,.410,.405,30,41,.732,7,27,34,20,8,2,20,15,98
Danny Manning,2003,PF,36,DET,4,0,14,1,3,.333,0,1,.000,1,2,.500,.333,0,0,,1,2,3,0,0,1,0,4,2
Stephon Marbury,2003,PG,25,PHO,6,6,272,51,136,.375,5,22,.227,46,114,.404,.393,25,33,.758,6,18,24,34,7,0,23,26,132
Shawn Marion,2003,SF,24,PHO,6,6,282,40,107,.374,9,28,.321,31,79,.392,.416,22,26,.846,21,49,70,12,11,11,13,17,111
Kenyon Martin,2003,PF,25,NJN,20,20,777,149,329,.453,1,11,.091,148,318,.465,.454,79,114,.693,50,137,187,57,29,31,58,92,378
Jamal Mashburn,2003,SF,30,NOH,4,4,162,34,79,.430,6,15,.400,28,64,.438,.468,25,35,.714,0,14,14,21,4,1,10,4,99
Anthony Mason,2003,C,36,MIL,6,0,157,7,17,.412,0,0,,7,17,.412,.412,9,13,.692,4,16,20,1,3,1,8,17,23
Desmond Mason,2003,SF,25,MIL,6,6,204,28,55,.509,0,4,.000,28,51,.549,.509,22,31,.710,6,36,42,5,6,4,7,19,78
Tony Massenburg,2003,C,35,UTA,5,0,70,10,21,.476,0,0,,10,21,.476,.476,5,9,.556,7,14,21,2,0,4,5,9,25
Walter McCarty,2003,SF,28,BOS,10,8,352,36,75,.480,21,52,.404,15,23,.652,.620,6,7,.857,10,33,43,22,8,5,11,35,99
Tracy McGrady*,2003,SG,23,ORL,7,7,308,74,165,.448,16,47,.340,58,118,.492,.497,58,75,.773,10,37,47,33,14,6,26,16,222
Jeff McInnis,2003,PG,28,POR,7,0,99,9,26,.346,0,3,.000,9,23,.391,.346,3,4,.750,5,7,12,19,2,1,6,11,21
Aaron McKie,2003,SF,30,PHI,12,0,315,38,71,.535,5,9,.556,33,62,.532,.570,12,14,.857,5,38,43,22,10,2,15,31,93
Stanislav Medvedenko,2003,PF,23,LAL,9,0,73,15,27,.556,0,0,,15,27,.556,.556,4,6,.667,4,14,18,1,1,1,3,14,34
Ron Mercer,2003,SG,26,IND,6,0,135,16,49,.327,0,0,,16,49,.327,.327,7,8,.875,2,11,13,7,6,1,5,11,39
Brad Miller,2003,C,26,IND,6,6,135,18,40,.450,0,0,,18,40,.450,.450,16,22,.727,10,23,33,15,5,0,9,17,52
Reggie Miller*,2003,SG,37,IND,6,6,176,15,53,.283,4,25,.160,11,28,.393,.321,21,23,.913,1,13,14,14,1,1,7,9,55
Jérôme Moïso,2003,C,24,NOH,4,0,60,10,16,.625,0,0,,10,16,.625,.625,3,4,.750,8,8,16,5,0,7,4,9,23
Dikembe Mutombo*,2003,C,36,NJN,10,0,115,7,15,.467,0,0,,7,15,.467,.467,4,4,1.000,8,19,27,6,3,9,8,21,18
Eduardo Nájera,2003,SF,26,DAL,19,5,394,39,86,.453,0,0,,39,86,.453,.453,38,48,.792,36,38,74,15,14,4,16,53,116
Steve Nash*,2003,PG,28,DAL,20,20,729,115,257,.447,37,76,.487,78,181,.431,.519,55,63,.873,15,55,70,145,17,1,51,47,322
Rasho Nesterović,2003,C,26,MIN,6,6,169,19,38,.500,0,0,,19,38,.500,.500,4,6,.667,9,21,30,4,1,4,5,28,42
Dirk Nowitzki,2003,PF,24,DAL,17,17,722,150,313,.479,27,61,.443,123,252,.488,.522,103,113,.912,15,181,196,37,21,16,40,52,430
Jermaine O'Neal,2003,PF,24,IND,6,6,272,43,92,.467,0,3,.000,43,89,.483,.467,51,65,.785,24,81,105,4,3,18,18,22,137
Shaquille O'Neal*,2003,C,30,LAL,12,12,481,121,226,.535,0,0,,121,226,.535,.535,82,132,.621,63,115,178,44,7,34,35,34,324
Mehmet Okur,2003,PF,23,DET,17,0,323,35,80,.438,7,13,.538,28,67,.418,.481,17,32,.531,24,46,70,13,12,12,14,39,94
Greg Ostertag,2003,C,29,UTA,5,5,151,16,36,.444,0,0,,16,36,.444,.444,14,19,.737,19,24,43,8,3,9,8,17,46
Bo Outlaw,2003,C,31,PHO,6,0,70,1,10,.100,0,0,,1,10,.100,.100,2,4,.500,6,7,13,5,1,1,6,19,4
Robert Pack,2003,PG,33,NOH,4,0,42,6,13,.462,0,0,,6,13,.462,.462,3,3,1.000,0,1,1,4,0,0,1,9,15
Scott Padgett,2003,PF,26,UTA,4,0,53,8,19,.421,2,7,.286,6,12,.500,.474,1,2,.500,6,3,9,4,3,0,5,6,19
Jannero Pargo,2003,PG,23,LAL,11,0,129,8,24,.333,4,15,.267,4,9,.444,.417,3,4,.750,3,6,9,14,8,1,7,22,23
Tony Parker,2003,PG,20,SAS,24,24,814,135,335,.403,15,56,.268,120,279,.430,.425,67,94,.713,8,58,66,85,22,3,47,51,352
Ruben Patterson,2003,SF,27,POR,7,0,155,25,52,.481,0,4,.000,25,48,.521,.481,20,29,.690,14,12,26,11,4,1,10,10,70
Gary Payton*,2003,PG,34,MIL,6,6,251,48,112,.429,1,15,.067,47,97,.485,.433,14,20,.700,4,14,18,52,8,1,13,18,111
Anthony Peeler,2003,SG,33,MIN,6,5,166,13,38,.342,2,16,.125,11,22,.500,.368,1,2,.500,5,16,21,18,4,1,4,14,29
Paul Pierce*,2003,SG,25,BOS,10,10,445,77,193,.399,16,45,.356,61,148,.412,.440,101,117,.863,11,79,90,67,21,8,44,38,271
Scottie Pippen*,2003,SF,37,POR,4,1,75,9,22,.409,3,9,.333,6,13,.462,.477,2,2,1.000,2,9,11,13,0,0,7,8,23
Scot Pollard,2003,C,27,SAC,8,0,91,7,24,.292,0,0,,7,24,.292,.292,10,13,.769,17,13,30,2,1,7,7,15,24
Tayshaun Prince,2003,SF,22,DET,15,3,382,49,115,.426,14,48,.292,35,67,.522,.487,29,38,.763,11,46,57,23,8,13,16,20,141
Joel Przybilla,2003,C,23,MIL,4,3,33,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,2,8,10,1,0,2,1,11,2
Zach Randolph,2003,PF,21,POR,7,4,205,32,61,.525,0,0,,32,61,.525,.525,33,37,.892,22,39,61,11,3,2,13,17,97
Željko Rebrača,2003,C,30,DET,4,0,29,6,17,.353,0,0,,6,17,.353,.353,5,7,.714,2,3,5,0,0,0,1,9,17
Michael Redd,2003,SG,23,MIL,6,0,128,21,52,.404,3,12,.250,18,40,.450,.433,13,14,.929,9,12,21,11,2,1,7,15,58
Clifford Robinson,2003,PF,36,DET,17,17,525,57,159,.358,22,59,.373,35,100,.350,.428,22,37,.595,14,32,46,49,16,13,28,62,158
David Robinson*,2003,C,37,SAS,23,23,539,64,118,.542,0,0,,64,118,.542,.542,52,78,.667,45,107,152,21,18,31,24,63,180
Rodney Rogers,2003,PF,31,NJN,20,0,350,45,121,.372,17,42,.405,28,79,.354,.442,27,38,.711,22,34,56,27,6,3,25,51,134
Malik Rose,2003,PF,28,SAS,24,0,560,75,179,.419,0,3,.000,75,176,.426,.419,72,94,.766,49,89,138,24,16,11,43,72,222
Kareem Rush,2003,PG,22,LAL,9,0,64,11,29,.379,4,11,.364,7,18,.389,.448,4,4,1.000,2,1,3,2,1,0,3,2,30
Arvydas Sabonis*,2003,C,38,POR,6,1,86,24,36,.667,0,0,,24,36,.667,.667,12,15,.800,6,18,24,5,4,4,6,14,60
John Salmons,2003,PG,23,PHI,6,0,16,0,1,.000,0,1,.000,0,0,,.000,0,2,.000,0,3,3,0,0,0,2,0,0
Jeryl Sasser,2003,SG,23,ORL,6,0,25,2,7,.286,1,4,.250,1,3,.333,.357,0,0,,1,4,5,1,1,1,1,1,5
Brian Scalabrine,2003,PF,24,NJN,7,0,20,2,4,.500,0,1,.000,2,3,.667,.500,0,0,,1,3,4,0,0,0,1,3,4
Brian Shaw,2003,PG,36,LAL,12,1,215,15,49,.306,6,26,.231,9,23,.391,.367,2,3,.667,1,37,38,24,4,5,9,18,38
Brian Skinner,2003,PF,26,PHI,8,0,38,1,6,.167,0,1,.000,1,5,.200,.167,4,4,1.000,3,3,6,0,0,1,2,6,6
Tamar Slay,2003,SG,22,NJN,6,0,11,1,4,.250,1,1,1.000,0,3,.000,.375,0,0,,0,0,0,0,0,0,2,1,3
Joe Smith,2003,SF,27,MIN,5,1,40,4,6,.667,0,0,,4,6,.667,.667,6,6,1.000,0,6,6,0,1,1,3,14,14
Steve Smith,2003,SG,33,SAS,9,0,66,5,24,.208,2,12,.167,3,12,.250,.250,4,4,1.000,1,6,7,6,1,0,2,3,16
Eric Snow,2003,PG,29,PHI,12,12,415,43,102,.422,1,10,.100,42,92,.457,.426,51,58,.879,9,31,40,67,18,0,30,47,138
DeShawn Stevenson,2003,SG,21,UTA,4,0,37,6,15,.400,0,2,.000,6,13,.462,.400,6,6,1.000,2,5,7,4,1,0,0,3,18
John Stockton*,2003,PG,40,UTA,5,5,149,18,39,.462,0,1,.000,18,38,.474,.462,20,20,1.000,5,11,16,26,8,1,14,13,56
Peja Stojaković,2003,SF,25,SAC,12,12,486,97,202,.480,32,70,.457,65,132,.492,.559,51,60,.850,17,66,83,30,10,5,12,34,277
Damon Stoudamire,2003,PG,29,POR,7,6,232,36,79,.456,15,31,.484,21,48,.438,.551,20,21,.952,7,29,36,39,6,2,12,22,107
Amar'e Stoudemire,2003,PF,20,PHO,6,6,203,34,65,.523,1,1,1.000,33,64,.516,.531,16,28,.571,16,31,47,7,10,9,19,28,85
Erick Strickland,2003,SG,29,IND,5,0,42,6,14,.429,1,5,.200,5,9,.556,.464,8,10,.800,3,4,7,8,1,0,1,4,21
Rod Strickland,2003,PG,36,MIN,6,0,73,11,21,.524,0,0,,11,21,.524,.524,6,6,1.000,0,6,6,17,4,2,8,5,28
Wally Szczerbiak,2003,SF,25,MIN,6,6,252,29,61,.475,3,14,.214,26,47,.553,.500,26,30,.867,6,24,30,13,6,1,18,19,87
Kenny Thomas,2003,PF,25,PHI,12,12,389,54,101,.535,0,0,,54,101,.535,.535,19,29,.655,42,70,112,11,8,5,19,42,127
Tim Thomas,2003,SF,25,MIL,6,5,191,36,78,.462,12,21,.571,24,57,.421,.538,23,32,.719,8,21,29,8,3,6,8,27,107
Jamaal Tinsley,2003,PG,24,IND,6,6,185,20,35,.571,8,13,.615,12,22,.545,.686,3,6,.500,6,12,18,39,4,0,8,20,51
Robert Traylor,2003,C,25,NOH,6,0,94,10,22,.455,0,0,,10,22,.455,.455,1,4,.250,11,19,30,4,3,5,6,17,21
Gary Trent,2003,SF,28,MIN,6,0,42,5,14,.357,0,0,,5,14,.357,.357,4,6,.667,4,3,7,1,1,0,4,6,14
Hedo Türkoğlu,2003,SF,23,SAC,10,5,174,18,50,.360,4,14,.286,14,36,.389,.400,13,18,.722,5,24,29,14,12,5,5,19,53
Nick Van Exel,2003,SG,31,DAL,20,3,672,150,326,.460,44,112,.393,106,214,.495,.528,45,64,.703,18,50,68,82,12,0,39,47,389
Keith Van Horn,2003,PF,27,PHI,12,12,402,42,110,.382,14,32,.438,28,78,.359,.445,27,30,.900,24,66,90,9,10,2,26,41,125
Jacque Vaughn,2003,PG,27,ORL,7,6,131,12,33,.364,0,1,.000,12,32,.375,.364,10,13,.769,1,5,6,25,4,1,9,18,34
Jake Voskuhl,2003,C,25,PHO,6,0,98,12,17,.706,0,0,,12,17,.706,.706,12,13,.923,9,13,22,2,4,4,6,21,36
Antoine Walker,2003,PF,26,BOS,10,10,440,73,176,.415,16,45,.356,57,131,.435,.460,11,22,.500,20,67,87,43,17,4,37,44,173
Samaki Walker,2003,C,26,LAL,9,0,49,2,5,.400,0,0,,2,5,.400,.400,0,0,,4,9,13,2,1,2,3,11,4
Ben Wallace*,2003,C,28,DET,17,17,722,53,109,.486,0,1,.000,53,108,.491,.486,45,101,.446,86,191,277,28,42,52,15,50,151
Gerald Wallace,2003,SF,20,SAC,7,0,18,2,5,.400,0,0,,2,5,.400,.400,2,2,1.000,0,5,5,0,0,1,2,4,6
Rasheed Wallace,2003,PF,28,POR,7,7,260,44,97,.454,14,35,.400,30,62,.484,.526,20,28,.714,10,26,36,18,4,5,6,26,122
Chris Webber*,2003,PF,29,SAC,7,7,246,67,135,.496,0,3,.000,67,132,.508,.496,32,49,.653,18,40,58,25,10,8,23,25,166
Bonzi Wells,2003,SG,26,POR,7,7,268,49,124,.395,9,30,.300,40,94,.426,.431,26,39,.667,14,34,48,26,15,3,21,30,133
David Wesley,2003,SG,32,NOH,6,6,185,29,72,.403,14,34,.412,15,38,.395,.500,7,7,1.000,1,6,7,13,5,1,15,23,79
Chris Whitney,2003,PG,31,ORL,7,0,111,8,21,.381,4,9,.444,4,12,.333,.476,2,2,1.000,3,8,11,7,2,2,2,21,22
Mike Wilks,2003,PG,23,MIN,4,0,7,1,2,.500,1,1,1.000,0,1,.000,.750,0,0,,0,0,0,0,0,0,0,0,3
Aaron Williams,2003,C,31,NJN,19,0,340,50,106,.472,0,0,,50,106,.472,.472,23,31,.742,33,54,87,18,6,17,13,54,123
Eric Williams,2003,SF,30,BOS,10,2,310,33,88,.375,3,15,.200,30,73,.411,.392,27,34,.794,12,20,32,17,9,0,12,42,96
Monty Williams,2003,SF,31,PHI,10,0,96,8,23,.348,0,1,.000,8,22,.364,.348,3,4,.750,7,8,15,0,2,0,4,12,19
Scott Williams,2003,C,34,PHO,6,6,83,11,32,.344,0,0,,11,32,.344,.344,2,2,1.000,6,9,15,1,4,3,1,17,24
Walt Williams,2003,SF,32,DAL,15,3,227,32,81,.395,14,41,.341,18,40,.450,.481,7,7,1.000,12,31,43,15,5,12,17,28,85
Corliss Williamson,2003,SF,29,DET,15,0,233,37,90,.411,0,0,,37,90,.411,.411,43,58,.741,13,20,33,15,4,3,20,38,117
Kevin Willis,2003,C,40,SAS,18,0,91,21,40,.525,1,1,1.000,20,39,.513,.538,3,3,1.000,19,12,31,2,1,1,8,16,46
Loren Woods,2003,C,24,MIN,2,0,2,1,3,.333,0,0,,1,3,.333,.333,0,0,,1,0,1,0,0,0,0,0,2
Qyntel Woods,2003,PF,21,POR,4,0,18,3,9,.333,0,1,.000,3,8,.375,.333,1,2,.500,1,1,2,0,0,0,1,3,7
Metta World Peace,2003,SF,23,IND,6,6,252,35,90,.389,12,31,.387,23,59,.390,.456,32,40,.800,11,24,35,13,15,6,16,25,114
Malik Allen,2004,PF,25,MIA,10,0,138,22,49,.449,0,0,,22,49,.449,.449,6,9,.667,12,18,30,4,2,9,4,21,50
